"V1","V4","V5"
"SRX080399","CTCF","Cardiovascular"
"SRX080400","CTCF","Kidney"
"SRX080403","CTCF","Blood"
"SRX080404","CTCF","Blood"
"SRX080406","CTCF","Cardiovascular"
"SRX080408","CTCF","Neural"
"SRX080413","CTCF","Epidermis"
"SRX080414","CTCF","Cardiovascular"
"SRX080415","CTCF","Epidermis"
"SRX080416","CTCF","Breast"
"SRX080420","CTCF","Blood"
"SRX080422","CTCF","Epidermis"
"SRX080425","CTCF","Blood"
"SRX080427","CTCF","Blood"
"SRX080431","CTCF","Others"
"SRX080432","CTCF","Lung"
"SRX080442","CTCF","Lung"
"SRX082162","JUND","Blood"
"SRX082163","FOS","Blood"
"SRX082164","MAX","Blood"
"SRX084351","DNase-Seq","Epidermis"
"SRX084524","Epitope tags","Prostate"
"SRX084525","ETS1","Prostate"
"SRX084526","GABPA","Prostate"
"SRX084527","Epitope tags","Prostate"
"SRX084528","Epitope tags","Prostate"
"SRX089254","DNase-Seq","Placenta"
"SRX089258","DNase-Seq","Placenta"
"SRX089282","DNase-Seq","Epidermis"
"SRX089283","DNase-Seq","Epidermis"
"SRX091575","DNase-Seq","Blood"
"SRX091576","DNase-Seq","Blood"
"SRX091996","H3K27me3","Blood"
"SRX091997","H3K4me3","Blood"
"SRX092313","TBX21","Blood"
"SRX092314","GATA3","Blood"
"SRX092315","GATA3","Blood"
"SRX093182","H3K27ac","Blood"
"SRX093183","SPI1","Blood"
"SRX093184","CEBPB","Blood"
"SRX093188","H3K27ac","Blood"
"SRX093319","TP53","Lung"
"SRX093541","SUPT20H","Blood"
"SRX094470","TCF7L2","Kidney"
"SRX095368","H3K27me3","Blood"
"SRX096360","Epitope tags","Cardiovascular"
"SRX096362","Epitope tags","Cardiovascular"
"SRX099230","GATA1","Blood"
"SRX099231","GATA1","Blood"
"SRX099400","H3K18ac","Lung"
"SRX099401","H3K18ac","Lung"
"SRX099402","H3K9ac","Lung"
"SRX099403","H3K9ac","Lung"
"SRX099404","RB1","Lung"
"SRX099405","RBL1","Lung"
"SRX099406","RBL2","Lung"
"SRX099628","EP300","Cardiovascular"
"SRX099629","EP300","Cardiovascular"
"SRX099890","Pan lysine acetylation","Lung"
"SRX099891","Pan lysine crotonylation","Lung"
"SRX100256","MEF2C","Cardiovascular"
"SRX100257","MEF2C","Cardiovascular"
"SRX1002799","H3K27ac","Bone"
"SRX1002800","H3K27ac","Bone"
"SRX1002801","H3K27me3","Bone"
"SRX1002802","H3K27me3","Bone"
"SRX100383","SIX5","Blood"
"SRX100386","RXRA","Blood"
"SRX100387","BCL3","Blood"
"SRX100392","USF1","Blood"
"SRX100394","REST","Blood"
"SRX100395","SRF","Blood"
"SRX100401","GABPA","Blood"
"SRX100407","PAX5","Blood"
"SRX100408","SP1","Blood"
"SRX100414","REST","Neural"
"SRX100431","EBF1","Blood"
"SRX100432","EP300","Blood"
"SRX100433","BCL11A","Blood"
"SRX100434","TCF12","Blood"
"SRX100435","IRF4","Blood"
"SRX100436","PAX5","Blood"
"SRX100437","ZBTB33","Blood"
"SRX100451","YY1","Blood"
"SRX1004562","YAP1","Lung"
"SRX1004563","TEAD1","Lung"
"SRX1004564","H3K27ac","Lung"
"SRX100456","ZEB1","Blood"
"SRX100461","RAD21","Blood"
"SRX100465","MEF2C","Blood"
"SRX100479","EGR1","Blood"
"SRX100522","SRF","Blood"
"SRX100525","FOXP2","Neural"
"SRX100541","ELF1","Blood"
"SRX100553","ATF3","Blood"
"SRX100554","BCLAF1","Blood"
"SRX100555","ETS1","Blood"
"SRX100556","MEF2A","Blood"
"SRX100576","SPI1","Blood"
"SRX100577","PBX3","Blood"
"SRX100579","POU2F2","Blood"
"SRX100582","TAF1","Blood"
"SRX100583","BATF","Blood"
"SRX100887","DNase-Seq","Others"
"SRX100894","DNase-Seq","Neural"
"SRX100896","DNase-Seq","Pancreas"
"SRX100900","DNase-Seq","Others"
