"id_data_tfs","V2"
"SRX069120","DNase hypersensitivity regions"
"SRX069121","DNase hypersensitivity regions"
"SRX069124","DNase hypersensitivity regions"
"SRX069125","DNase hypersensitivity regions"
"SRX069127","DNase hypersensitivity regions"
"SRX069128","DNase hypersensitivity regions"
"SRX069130","DNase hypersensitivity regions"
"SRX069131","DNase hypersensitivity regions"
"SRX069132","DNase hypersensitivity regions"
"SRX069133","DNase hypersensitivity regions"
"SRX069136","DNase hypersensitivity regions"
"SRX069140","DNase hypersensitivity regions"
"SRX069141","DNase hypersensitivity regions"
"SRX069142","DNase hypersensitivity regions"
"SRX069143","DNase hypersensitivity regions"
"SRX069144","DNase hypersensitivity regions"
"SRX069147","DNase hypersensitivity regions"
"SRX069148","DNase hypersensitivity regions"
"SRX069150","DNase hypersensitivity regions"
"SRX069154","DNase hypersensitivity regions"
"SRX069155","DNase hypersensitivity regions"
"SRX069156","DNase hypersensitivity regions"
"SRX069161","DNase hypersensitivity regions"
"SRX069165","DNase hypersensitivity regions"
"SRX069167","DNase hypersensitivity regions"
"SRX069169","DNase hypersensitivity regions"
"SRX069172","DNase hypersensitivity regions"
"SRX069176","DNase hypersensitivity regions"
"SRX069178","DNase hypersensitivity regions"
"SRX069179","DNase hypersensitivity regions"
"SRX069182","DNase hypersensitivity regions"
"SRX069183","DNase hypersensitivity regions"
"SRX069187","DNase hypersensitivity regions"
"SRX069191","DNase hypersensitivity regions"
"SRX069194","DNase hypersensitivity regions"
"SRX069201","DNase hypersensitivity regions"
"SRX069207","DNase hypersensitivity regions"
"SRX069208","DNase hypersensitivity regions"
"SRX069209","DNase hypersensitivity regions"
"SRX069210","DNase hypersensitivity regions"
"SRX069211","DNase hypersensitivity regions"
"SRX069212","DNase hypersensitivity regions"
"SRX069214","DNase hypersensitivity regions"
"SRX069216","DNase hypersensitivity regions"
"SRX069218","DNase hypersensitivity regions"
"SRX069223","DNase hypersensitivity regions"
"SRX069225","DNase hypersensitivity regions"
"SRX069226","DNase hypersensitivity regions"
"SRX069229","DNase hypersensitivity regions"
"SRX089254","DNase hypersensitivity regions"
"SRX089258","DNase hypersensitivity regions"
"SRX089282","DNase hypersensitivity regions"
"SRX089283","DNase hypersensitivity regions"
"SRX100887","DNase hypersensitivity regions"
"SRX100894","DNase hypersensitivity regions"
"SRX100900","DNase hypersensitivity regions"
"SRX100903","DNase hypersensitivity regions"
"SRX100906","DNase hypersensitivity regions"
"SRX100910","DNase hypersensitivity regions"
"SRX100919","DNase hypersensitivity regions"
"SRX189389","DNase hypersensitivity regions"
"SRX193593","DNase hypersensitivity regions"
"SRX201809","DNase hypersensitivity regions"
"SRX2105477","DNase hypersensitivity regions"
"SRX2370685","DNase hypersensitivity regions"
"SRX2370791","DNase hypersensitivity regions"
"SRX2469628","DNase hypersensitivity regions"
"SRX2469629","DNase hypersensitivity regions"
"SRX581586","DNase hypersensitivity regions"
"SRX581587","DNase hypersensitivity regions"
"SRX1420086","DNase hypersensitivity regions"
"SRX1420087","DNase hypersensitivity regions"
"SRX1892845","DNase hypersensitivity regions"
"SRX189386","DNase hypersensitivity regions"
"SRX189393","DNase hypersensitivity regions"
"SRX189394","DNase hypersensitivity regions"
