"Gene_symbol","Wilcox_P","Mean_fc","Adjust_P","Adjust_P_rank","Mean_fc_rank","sgRNA_number","Screen_score"
"RBPMS-AS1",7.21e-05,1.0529275778251,0.001,2438,6067,23,0.317432664937881
"RC3H1-IT1",0.0415372959184263,0.679466092797307,0.041,7534.5,478,3,0.543497233551031
"RERG-AS1",0.00406611515549911,1.07458092789932,0.004,4765.5,6634,10,-0.101471790651641
"RERG-IT1",0.000398480954672581,1.06750886519095,0.001,2438,6450,7,0.385491457956
"RFPL1S",0.0302674068395237,0.746236228951729,0.027,7070.5,821,9,0.244158463221238
"RGMB-AS1",0.000669215583906277,1.18489847916995,0.001,2438,9275,15,0.901771736762841
"RGPD4-AS1",0.0292150750316592,1.05108356304834,0.025,6982,6024,6,-0.926498404631772
"RGS5",5.1e-05,0.956817313126499,0.001,2438,3660,17,0.279666180657509
"RMDN2-AS1",0.000132206044467148,1.12760627085017,0.001,2438,7975,23,0.656520060356775
"RMST",3.68e-14,1.08856268057282,0,587,7002,57,1.4292088577903
"RNASEH1-AS1",0.0101205388703711,1.08640511151842,0.012,5744,6942,8,-0.474749632697051
"RNASEH2B-AS1",0.000118151624513594,1.06869648702896,0.001,2438,6486,17,0.390993733207367
"RNF139-AS1",0.000131629852005797,0.916210611235788,0.001,2438,2836,14,0.49426280400571
"RNF144A-AS1",0.00652256921646854,1.15131018813195,0.007,5220,8571,22,0.022954414179267
"RNF157-AS1",1.18e-11,0.922038488830922,0,587,2942,75,1.40995633113722
"RNF216-IT1",1.31e-06,0.73267218642574,0,587,734,17,0
"RNF219-AS1",5.44e-06,0.992981046284864,0.001,2438,4513,28,0.0960814497277164
"ROPN1L-AS1",0.0600961981197573,1.0537463917964,0.06,8090.5,6097,5,-1.25883285547958
"ROR1-AS1",0.0102928729958139,0.977034591865586,0.012,5744,4114,21,-0.77087498077608
"RORB-AS1",0.130545707668895,1.08055915075653,0.134,9360.5,6797,3,-1.45147630651815
"RP1-101K10.6",0.0498787464541373,1.04345361746718,0.047,7811,5800,4,-1.2111406386895
"RP1-102D24.5",0.0113111167887681,1.11679642983419,0.013,5822,7708,13,-0.369581080533569
"RP1-102E24.8",1.67e-05,0.865749665208316,0.001,2438,2036,11,0.774594677036081
"RP1-102G20.5",6.28e-07,0.98178608564739,0,587,4239,16,1.09925847943254
"RP1-102K2.6",0.000286536164997018,0.962045073896215,0.001,2438,3788,10,0.252702732129444
"RP1-104O17.1",0.057354386488775,1.12032852057531,0.058,8031,7802,5,-0.942267481002252
"RP1-104O17.3",0.0444828264786672,1.1090743157562,0.042,7622.5,7520,7,-0.865005990144987
"RP1-105O18.1",0.00393514090576884,1.13633969257341,0.004,4765.5,8193,7,0.175061161897566
"RP11-1000B6.2",6.36e-05,0.951474874309392,0.001,2438,3531,20,0.307373726157563
"RP11-1000B6.5",0.00148100544327653,0.697256742194318,0.002,3860.5,540,4,1.59023804434593
"RP11-1007G5.2",0.00409661789518895,1.14829951840665,0.004,4765.5,8491,10,0.226872037081547
"RP11-1007I13.4",0.00549887176843666,1.03484460801291,0.006,5113,5589,26,-0.444847862189818
"RP11-1007O24.3",0.0911812586445462,1.1409720782797,0.082,8727.5,8313,6,-0.988479322474776
"RP11-1008C21.1",5.13e-06,0.982718291068509,0.001,2438,4263,35,0.147491829276742
"RP11-1008C21.2",0.123469596473325,1.18826998022211,0.122,9245,9333,8,-0.944238852825066
"RP11-100E13.1",0.000872761077955942,1.00512566862009,0.001,2438,4806,28,0.0875150293408681
"RP11-100F15.1",0.109898444430462,0.81979911272759,0.11,9039,1448,5,-0.7747484092016
"RP11-100F15.2",0.000469264054619764,1.05112269348912,0.001,2438,6025,8,0.308942818391596
"RP11-100G15.10",0.0108125751665715,0.860855974644172,0.013,5822,1964,6,-0.175787437225895
"RP11-100K18.1",0.209771425370662,1.33369895314235,0.224,10226.5,10796,4,-0.612722856648413
"RP11-100L22.1",0.146629578480633,1.09858286380569,0.15,9546.5,7250,3,-1.41413358117641
"RP11-100L22.3",0.0500932269357586,1.214586408111,0.047,7811,9725,7,-0.45961410554582
"RP11-100L22.4",0.202750795407414,1.07916939375233,0.217,10157,6751,4,-1.64812524824533
"RP11-100M12.1",0.00520140865742709,0.980690398284863,0.005,4986,4209,6,-0.448125698863458
"RP11-100M12.3",0.0705528208911571,1.1163244838546,0.069,8391.5,7690,6,-1.02846681099067
"RP11-100N20.1",0.000528845736376511,1.09099574571843,0.001,2438,7069,14,0.493186821589673
"RP11-1012E15.2",0.00377111886228122,1.2275170683636,0.004,4765.5,9902,15,0.55699876295482
"RP11-1017G21.4",0.000366897092020117,0.867812423181501,0.001,2438,2064,9,0.762818434889154
"RP11-1018N14.1",9.75e-08,0.85584332188177,0,587,1895,12,1.77861381158552
"RP11-1018N14.2",0.0376980640142162,1.00495380942628,0.038,7383,4802,7,-1.31342287687128
