"Gene_symbol","Wilcox_P","Mean_fc","Adjust_P","Adjust_P_rank","Mean_fc_rank","sgRNA_number","Screen_score"
"neg_779",0.236557910046699,1.59362847693019,0.455,11602.5,9842,10,-0.791761652202051
"neg_78",0.427378083492927,1.96053237372139,0.29,9753,11064,10,-0.128630926935133
"neg_780",0.00567424156832835,1.58879014299636,0.041,5637,9811,10,-0.025166390637701
"neg_781",0.979696653466038,2.50438185950111,0.00900000000000001,4034.5,11790,10,1.59827865316158
"neg_782",0.781065513188013,1.83359415840836,0.097,7177,10756,10,0.0563779305091548
"neg_783",0.488683258210885,1.98921543694183,0.238,9213,11130,10,-0.0287083405884592
"neg_784",0.0528056517405416,1.96586618495065,0.217,8915,11077,10,-0.0285058140646317
"neg_785",0.69394336440182,2.11340555194702,0.13,7734.5,11404,10,0.317334150647656
"neg_786",0.230431836176253,1.83539583669438,0.462,11669.5,10762,10,-0.443464612894967
"neg_787",0.682032290812406,2.39342338542014,0.136,7874,11719,10,0.613965518183119
"neg_788",0.850757212996323,2.20435550710835,0.0679999999999999,6401,11549,10,0.63112486275501
"neg_789",0.562420876377505,2.08555678053493,0.2,8630,11358,10,0.145546910630563
"neg_79",0.136634123584916,1.89944763879438,0.385,10880,10926,10,-0.298994136190206
"neg_790",0.559377469769315,2.00611808783286,0.202,8665,11173,10,0.0452318937209197
"neg_791",0.262687795844602,1.98898780933138,0.427,11328,11129,10,-0.217135070792669
"neg_792",0.418975380310477,1.70678944045221,0.293,9782.5,10328,10,-0.478542970389809
"neg_793",0.128588805613486,1.75698829352323,0.368,10705,10489,10,-0.47941547827366
"neg_794",0.0419370101755252,1.28798036646326,0.189,8491.5,7594,10,-1.04146973584183
"neg_795",0.713156466421616,2.56220788176283,0.124,7701.5,11816,10,0.81409528116637
"neg_796",0.20223560761278,2.51524068466906,0.497,11968,11796,10,0.321019884395302
"neg_797",0.145879850727997,1.76762073454232,0.406,11106,10537,10,-0.495960856900871
"neg_798",0.0839821647881322,1.48304509921206,0.295,9809,9195,10,-0.832117075857346
"neg_799",0.107673449078527,1.69532300911892,0.343,10395.5,10276,10,-0.546113631874538
"neg_8",0.154583503107738,1.66678964569898,0.418,11243.5,10161,10,-0.652214331530921
"neg_80",0.0784994911168727,1.83241206646606,0.281,9663,10753,10,-0.287487376571908
"neg_800",0.911182829943089,2.07297221915613,0.034,5488.5,11331,10,0.700158019898512
"neg_801",0.00947906066916235,1.61269431775919,0.061,6246,9911,10,-0.115488314559356
"neg_802",0.743353984520091,2.01386916997082,0.116,7478.5,11196,10,0.233351109263436
"neg_803",0.443208193357285,1.96483143160731,0.277,9631.5,11074,10,-0.108391609514222
"neg_804",0.0832295347739803,1.58870047461551,0.293,9770.5,9810,10,-0.657835091316358
"neg_805",0.345316460755238,2.24007858070169,0.351,10535.5,11594,10,0.143251543972997
"neg_806",0.395264292226555,1.90296010276759,0.31,9996,10937,10,-0.224631055023902
"neg_807",0.302133725481616,2.35412660473749,0.389,10925.5,11691,10,0.234345757659502
"neg_808",0.223938312842652,1.64337404359848,0.468,11742,10052,10,-0.723964675802518
"neg_809",0.214911946642428,2.11192233640593,0.481,11846,11401,10,-0.105495186124909
"neg_81",0.174940972746001,1.95083079870141,0.45,11576,11046,10,-0.282463083300734
"neg_810",0.171326430757052,1.79807919982544,0.442,11508,10644,10,-0.48058559713703
"neg_811",0.143371866092205,1.76776208164452,0.402,11056,10538,10,-0.492573761370507
